transect_name,direction,dog_feces,garbage
Doug1,W,0,4
Doug1,E,0,1
Doug2,W,6,0
Doug2,E,1,2
Doug3,W,3,1
Doug3,E,1,3
Doug4,W,0,0
Doug4,E,0,1
Doug5,W,0,0
Doug5,E,0,0
Doug6,W,1,2
Doug6,E,0,1
Doug7,W,1,0
Doug7,E,0,0
Doug8,W,0,0
Doug8,E,0,1
Doug9,W,1,0
Doug9,E,0,0
Doug10,W,0,0
Doug10,E,1,1
Doug11,W,0,0
Doug11,E,0,0
Doug12,W,2,0
Doug12,E,0,1
Doug13,W,6,4
Doug13,E,1,1
Doug14,W,0,0
Doug14,E,1,2
Doug18,W,0,3
Doug18,E,2,0
Doug19,W,0,3
Doug19,E,0,0
Doug20,W,10,7
Doug20,E,0,0
Doug21,W,3,2
Doug21,E,0,4
Sam3,W,0,4
Sam3,E,2,0
Sam4,W,0,2
Sam4,E,0,1