transect_name,direction,dog_feces,garbage,fallen_trees
Doug1,E,N,N,Y
Doug1,W,N,Y,Y
Doug2,E,Y,Y,Y
Doug2,W,N,N,Y
Doug3,E,N,N,Y
Doug3,W,Y,N,Y
Doug4,E,Y,Y,Y
Doug4,W,N,Y,Y
Doug5,E,Y,N,Y
Doug5,W,Y,Y,Y
Doug6,E,Y,N,Y
Doug6,W,Y,N,Y
Doug7,E,Y,Y,Y
Doug7,W,Y,Y,Y
Doug8,E,N,Y,Y
Doug8,W,N,N,Y
Doug9,E,N,N,Y
Doug9,W,Y,Y,Y
Doug10,E,N,N,N
Doug10,W,N,N,Y
Doug11,E,Y,Y,Y
Doug11,W,Y,Y,Y
Doug12,E,Y,N,Y
Doug12,W,Y,Y,Y
Doug13,E,Y,Y,Y
Doug13,W,N,Y,N
Doug14,E,N,Y,Y
Doug14,W,Y,Y,Y
Doug15,E,Y,Y,Y
Doug15,W,Y,Y,Y
Doug16,E,N,N,Y
Doug16,W,Y,N,Y
Doug17,E,N,N,N
Doug17,W,Y,N,Y
Doug18,E,Y,Y,N
Doug18,W,N,N,Y
Doug19,E,Y,Y,Y
Doug19,W,N,N,Y
Doug20,E,Y,Y,Y
Doug20,W,Y,Y,Y
Doug21,E,Y,Y,Y
Doug21,W,Y,Y,Y
Doug22,E,N,N,Y
Doug22,W,Y,Y,Y
Doug23,E,Y,Y,Y
Doug23,W,N,N,Y
Doug24,E,N,N,Y
Doug24,W,Y,Y,Y
Doug25,E,Y,N,Y
Doug25,W,Y,Y,Y
Doug26,E,N,N,Y
Doug26,W,N,Y,N
Doug27,E,N,Y,N
Doug27,W,N,N,Y
Doug28,E,Y,Y,Y
Doug28,W,N,N,Y